base_month,emd_nm,visit_pop_cnt
1,건입동,515.9474076612771
1,구좌읍,256.40243790322404
1,남원읍,785.0992780913579
1,노형동,1758.8300512096996
1,대륜동,243.58585806451632
1,대정읍,185.2204295698939
1,대천동,106.0150842741975
1,도두동,1134.1248262096335
1,동홍동,212.06834381719912
1,봉개동,134.15179206989274
1,삼도1동,165.38544838710055
1,삼도2동,637.5335939515892
1,삼양동,60.187277016128064
1,서홍동,827.3788997311542
1,성산읍,735.6819983870423
1,송산동,50.667595967743125
1,아라동,168.3052318548413
1,안덕면,781.8874540321945
1,애월읍,1643.9220096773734
1,연동,5892.529203628824
1,영천동,193.1232926075252
1,예래동,547.5998294354587
1,오라동,210.89469717742023
1,외도동,202.20249422043224
1,용담1동,76.40630188172007
1,용담2동,3510.2231904571427
1,우도면,120.06989905913964
1,이도1동,172.35857204301385
1,이도2동,270.6507541666759
1,이호동,229.9992185483855
1,일도1동,83.55504784946194
1,일도2동,221.8435259408591
1,정방동,236.9918129032181
1,조천읍,435.9523581989278
1,중문동,404.9364232526821
1,중앙동,80.0803919354831
1,천지동,121.20135967741723
1,추자면,123.94206693548622
1,표선면,329.26148037634573
1,한경면,95.23719381720677
1,한림읍,436.182045967741
1,화북동,43.92094543010941
1,효돈동,31.64493319892525
2,건입동,407.05543911287185
2,구좌읍,194.07140577957594
2,남원읍,486.62203642468705
2,노형동,1250.980406989171
2,대륜동,191.97483602151468
2,대정읍,141.96540672043653
2,대천동,70.99324569892438
2,도두동,830.7346189516019
2,동홍동,215.9158065860299
2,봉개동,113.24061088709476
2,삼도1동,121.01438870967795
2,삼도2동,467.2349622311603
2,삼양동,45.96176061828093
2,서홍동,472.94415819890565
2,성산읍,561.4008065859874
2,송산동,39.635691801075716
2,아라동,163.55512217741935
2,안덕면,578.9747805107437
2,애월읍,1092.1859955644163
2,연동,4106.5635936828085
2,영천동,134.05173817203993
2,예래동,616.4921670698474
2,오라동,150.78685309140016
2,외도동,147.82252567204625
2,용담1동,57.57470000000132
2,용담2동,2335.9219588710885
2,우도면,111.92867755376427
2,이도1동,150.99111115591546
2,이도2동,234.6655555107681
2,이호동,180.86424838709317
2,일도1동,54.948999865591794
2,일도2동,129.3273159946242
2,정방동,215.35198198926648
2,조천읍,257.1199681451727
2,중문동,252.41424489247714
2,중앙동,66.95497190860294
2,천지동,106.63122553763282
2,추자면,106.23681411289996
2,표선면,210.87514892473493
2,한경면,62.29298037634303
2,한림읍,355.50404489248535
2,화북동,26.938309677419515
2,효돈동,16.5806825268816
3,건입동,389.85352822577494
3,구좌읍,250.27351935485396
