base_month,emd_nm,visit_pop_cnt
1,건입동,819.2147091556734
1,구좌읍,739.6169472312839
1,남원읍,1325.4657430098605
1,노형동,2537.0481199289934
1,대륜동,704.6887715185525
1,대정읍,2124.2163830867607
1,대천동,492.19399081692467
1,도두동,311.4618090734832
1,동홍동,651.2563135964314
1,봉개동,523.2833573190268
1,삼도1동,288.0005354989157
1,삼도2동,412.33329084430477
1,삼양동,230.46358703400205
1,서홍동,878.2389084429512
1,성산읍,1134.9102343750444
1,송산동,879.8379331140243
1,아라동,849.4067854988732
1,안덕면,1603.6500185033508
1,애월읍,4372.3006073191555
1,연동,2813.1550651046064
1,영천동,934.0520605810701
1,예래동,551.5969720394302
1,오라동,807.7287143640064
1,외도동,293.1598430647295
1,용담1동,218.55948643093464
1,용담2동,874.4451296600708
1,우도면,576.9031444626846
1,이도1동,472.36594216008524
1,이도2동,989.5234854714587
1,이호동,309.85671504937625
1,일도1동,338.70836663928384
1,일도2동,464.4542324561297
1,정방동,1137.917476014227
1,조천읍,1048.0473174341755
1,중문동,1100.390571957237
1,중앙동,316.7882113486967
1,천지동,270.1467450658217
1,추자면,1099.7685023300182
1,표선면,647.3027627466575
1,한경면,647.9149255756081
1,한림읍,2261.020803728257
1,화북동,360.65053399128846
1,효돈동,133.34682031249002
2,건입동,694.9876237663976
2,구좌읍,617.6692586348041
2,남원읍,1220.0693018091956
2,노형동,2529.0054771108776
2,대륜동,622.560775493365
2,대정읍,1868.9316000548783
2,대천동,424.14490378291424
2,도두동,291.54765350879205
2,동홍동,557.6058855536999
2,봉개동,433.3844573738947
2,삼도1동,262.97968845944234
2,삼도2동,407.5886585800637
2,삼양동,210.41479495614053
2,서홍동,677.1136324012913
2,성산읍,979.9380046601799
2,송산동,627.8207698739017
2,아라동,851.3946063595954
2,안덕면,1382.0219141995049
2,애월읍,3456.208628563514
2,연동,2491.873174342419
2,영천동,726.1611528234257
2,예래동,574.7441185580518
2,오라동,682.0673022203437
